num_expediente,fecha,hora,timestamp,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,coordenadas,positiva_alcohol,positiva_droga
2024S020065,18/06/2024,14:50:00,2024-06-18T14:50:00Z,CALL. CARMEN BRUGUERA / CALL. MONEDEROS,10,12,USERA,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,440404.211,4471158.831,"440404.211, 4471158.831",0,0
2024S020065,18/06/2024,14:50:00,2024-06-18T14:50:00Z,CALL. CARMEN BRUGUERA / CALL. MONEDEROS,10,12,USERA,Alcance,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,440404.211,4471158.831,"440404.211, 4471158.831",0,0
2024S020068,18/06/2024,14:20:00,2024-06-18T14:20:00Z,PASEO. RECOLETOS / CALL. BARBARA DE BRAGANZA,27,1,CENTRO,Alcance,Despejado,Furgoneta,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,441370.646,4474978.324,"441370.646, 4474978.324",0,0
2024S020068,18/06/2024,14:20:00,2024-06-18T14:20:00Z,PASEO. RECOLETOS / CALL. BARBARA DE BRAGANZA,27,1,CENTRO,Alcance,Despejado,Motocicleta > 125cc,Conductor,De 55 a 59 años,Hombre,2,Ingreso inferior o igual a 24 horas,441370.646,4474978.324,"441370.646, 4474978.324",0,0
2024S020069,18/06/2024,14:40:00,2024-06-18T14:40:00Z,CALL. BAILEN / CALL. MAYOR,10,1,CENTRO,Colisión frontal,Despejado,Motocicleta hasta 125cc,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439463.127,4474092.435,"439463.127, 4474092.435",0,0
2024S020069,18/06/2024,14:40:00,2024-06-18T14:40:00Z,CALL. BAILEN / CALL. MAYOR,10,1,CENTRO,Colisión frontal,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,439463.127,4474092.435,"439463.127, 4474092.435",0,0
2024S020072,18/06/2024,18:15:00,2024-06-18T18:15:00Z,CALL. PORTALEGRE / AVDA. ABRANTES,2,11,CARABANCHEL,Colisión fronto-lateral,Nublado,Motocicleta > 125cc,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,438561.449,4470625.471,"438561.449, 4470625.471",0,0
2024S020072,18/06/2024,18:15:00,2024-06-18T18:15:00Z,CALL. PORTALEGRE / AVDA. ABRANTES,2,11,CARABANCHEL,Colisión fronto-lateral,Nublado,Turismo,Conductor,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,438561.449,4470625.471,"438561.449, 4470625.471",0,0
2024S020074,18/06/2024,18:20:00,2024-06-18T18:20:00Z,PASEO. CASTELLANA / CALL. PADRE FRANCISCO PALAU Y QUER,274,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 35 a 39 años,Mujer,14,Sin asistencia sanitaria,441787,4480605.032,"441787, 4480605.032",0,0
2024S020074,18/06/2024,18:20:00,2024-06-18T18:20:00Z,PASEO. CASTELLANA / CALL. PADRE FRANCISCO PALAU Y QUER,274,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Mujer,1,Atención en urgencias sin posterior ingreso,441787,4480605.032,"441787, 4480605.032",0,0
2024S020074,18/06/2024,18:20:00,2024-06-18T18:20:00Z,PASEO. CASTELLANA / CALL. PADRE FRANCISCO PALAU Y QUER,274,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,441787,4480605.032,"441787, 4480605.032",0,0
2024S020077,18/06/2024,1:15:00,2024-06-18T01:15:00Z,"AVDA. LUIS ARAGONES, 4",4,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,77,Se desconoce,448779.832,4476484.979,"448779.832, 4476484.979",0,0
2024S020077,18/06/2024,1:15:00,2024-06-18T01:15:00Z,"AVDA. LUIS ARAGONES, 4",4,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,77,Se desconoce,448779.832,4476484.979,"448779.832, 4476484.979",0,0
2024S020078,18/06/2024,16:50:00,2024-06-18T16:50:00Z,"CALL. MONCADA, 103",103,17,VILLAVERDE,Colisión lateral,Se desconoce,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,441206.461,4465836.038,"441206.461, 4465836.038",0,0
2024S020078,18/06/2024,16:50:00,2024-06-18T16:50:00Z,"CALL. MONCADA, 103",103,17,VILLAVERDE,Colisión lateral,Se desconoce,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,441206.461,4465836.038,"441206.461, 4465836.038",0,0
2024S020080,18/06/2024,18:30:00,2024-06-18T18:30:00Z,"ESTFE. ATOCHA, 0",0,2,ARGANZUELA,Alcance,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,77,Se desconoce,441451.248,4473116.791,"441451.248, 4473116.791",0,0
2024S020080,18/06/2024,18:30:00,2024-06-18T18:30:00Z,"ESTFE. ATOCHA, 0",0,2,ARGANZUELA,Alcance,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,77,Se desconoce,441451.248,4473116.791,"441451.248, 4473116.791",0,0
2024S020081,18/06/2024,16:55:00,2024-06-18T16:55:00Z,CALL. ARTURO SORIA / CALL. ANGELITA CAVERO,102,15,CIUDAD LINEAL,Atropello a persona,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,445060.718,4477483.383,"445060.718, 4477483.383",0,0
